Name,Nickname,Subheading,Birthday,Height,ProfileURL,ImageFile,Agency,Hobby,Specialty,Name,kc_name,Group,star_rank1,ep1,ep2,star_rank2,ep3_master,ep3
KIM JUN MIN,KIM JUN MIN,"Watch me once, and you’ll want to see me again and again!",2002.12.31,178,https://share.mnetplus.world/boys2planet/participants/6837c0b672e9bb5e3f1a574a?hl=en,images/22.jpg,CJes Studios,"Dancing, shopping, watching movies",Writing lyrics,Kim Jun min,김준민,K,3,17,21,3,15,36
KIM JUN SEO,KIM JUN SEO,"Every stage is my last—I’ll give it my all, so please support me!",2001.11.20,178.7,https://share.mnetplus.world/boys2planet/participants/6837c22d266f2842f3e62c18?hl=en,images/23.jpg,OUI ENTERTAINMENT,"Shopping for base products, doing aerobic exercise (biking), staying hydrated by drinking plenty of water","Acting, taking pretty pictures, giving motivating words to fans",Kim Jun seo,김준서,K,2,8,8,3,10,6
KIM SI HWAN,KIM SI HWAN,Star Creators—are you ready to fall for me?,2005.11.28,179,https://share.mnetplus.world/boys2planet/participants/6837b5805c79d84f56b22c2f?hl=en,images/24.jpg,IST ENTERTAINMENT,"Playing games, exploring unfamiliar places, ocean swimming, singing, listening to music, gaming, and working out","Art (immitating drawings), long-distance running, doing nothing",Kim Si hwan,김시환,K,3,27,29,3,20,46
KIM TAE JO,KIM TAE JO,"My path is clear. I’ll move forward, undeterred by any challenge. If you like me, please support KIM TAE JO!",2010.07.01,181,https://share.mnetplus.world/boys2planet/participants/6837c44e179257342956ed48?hl=en,images/25.jpg,ChoCo ENTERTAINMENT,"Playing soccer and PlayStation games, making beats,
digging for trendy music, broadcasting while eating trendy food","DJing, playing electric guitar, making beats in 1 minute, locking dance",Kim Tae jo,김태조,K,3,53,25,3,22,39
LEE LEO,LEE LEO,I will debut!!,2002.08.22,179,https://share.mnetplus.world/boys2planet/participants/683d082b9d605a41583cecec?hl=en,images/26.jpg,GRID ENTERTAINMENT,"Watching media, searching for delicious dessert restaurants",Composing music,Lee Leo,이리오,K,3,5,2,3,6,5
LEE SANG WON,LEE SANG WON,I will always strive for the best,2003.05.08,177,https://share.mnetplus.world/boys2planet/participants/683d0aeb32363472da8ee11a?hl=en,images/27.jpg,GRID ENTERTAINMENT,"Digging for music, watching mukbang",DJing,Lee Sang won,이상원,K,3,1,1,3,2,1
LI ZI HAO,LI ZI HAO,"BOYS II PLANET, wait for me - I’m coming!",2004.10.22,176,https://share.mnetplus.world/boys2planet/participants/684116b2920f852810393460?hl=en,images/28.jpg,NCC ENTERTAINMENT,"Singing, dancing, rap, playing games, composition","Freestyle dance, girl group dance",Li Zi hao,李梓豪,C,2,16,22,2,47,37
MASATO,MASATO,I won’t waste a single moment. I’ll give my all on every stage!,2003.09.21,171,https://share.mnetplus.world/boys2planet/participants/68396af2ff963d45bc7c6686?hl=en,images/29.jpg,iNKODE ENTERTAINMENT,"Watching animations, taking walks, appreciating nature","Playing table tennis, performing magic tricks, swimming, playing soccer",Masato,마사토,K,2,6,7,2,34,8
NA YUN SEO,NA YUN SEO,I will be your best choice!,2010.01.24,170.7,https://share.mnetplus.world/boys2planet/participants/6837dfcd266f2842f3e62c19?hl=en,images/30.jpg,CUBE ENTERTAINMENT,"Skateboarding, playing soccer, playing soccer games","Dancing, creating choreography, vocals, skateboarding",Na Yun seo,나윤서,K,2,39,19,3,12,29
NIAN BO HENG,NIAN BO HENG,I will draw you into the depths of NIAN’s deep voice,2006.01.06,181,https://share.mnetplus.world/boys2planet/participants/6840f860746e21370e0a9685?hl=en,images/31.jpg,BILL ENTERTAINMENT,"Rapping, playing games, badminton","Rapping fast, beatboxing, trilingual (Korean/English/Chinese)",Nian Bo heng,年博恒,C,3,57,13,3,17,24
PARK DONG GYU,PARK DONG GYU,"I’ve trained for a long time, and I’ll show you the solid skills I’ve built!",2005.03.16,182,https://share.mnetplus.world/boys2planet/participants/6837eab9cbda8e7e840d2708?hl=en,images/32.jpg,IST ENTERTAINMENT,"Going to cafes and watching people, riding a bike to work",Performing leg fighting,Park Dong gyu,박동규,K,3,28,14,3,11,30
PARK JUN IL,PARK JUN IL,I’ll do my best to show you everything I’ve got!,2004.04.05,171,https://share.mnetplus.world/boys2planet/participants/6837ed25631cff460ffce514?hl=en,images/33.jpg,iNKODE ENTERTAINMENT,"Taking walks, window shopping, exploring dessert restaurants","Practicing Taekwondo, performing acrobatics",Park Jun il,박준일,K,2,13,16,2,44,33
PENG JIN YU,PENG JIN YU,"With 1000% effort, I will run toward my dream. I believe that if there is a will, there is a way!",2006.03.10,178,https://share.mnetplus.world/boys2planet/participants/684148dacb7dda777b2e2d31?hl=en,images/34.jpg,Individual,"Exercising, eating delicious food, watching dramas","Strong will, excellent language learning ability (can speak a little French, fluent in English, studying Korean!)",Peng Jin yu,彭锦煜,C,3,6,9,1,63,22
SEN,SEN,"From beginning to end, I am grateful to everyone and will become the brightest idol!",2005.12.25,170,https://share.mnetplus.world/boys2planet/participants/68411e755a617c7dfa2bb1c2?hl=en,images/35.jpg,iNKODE,"Drawing, enjoying nature, handwriting, strength training","Skateboarding, acrobatics, standing double jump",Sen,센,C,2,30,11,2,45,23
SEO WON,SEO WON,I’ve taken a big step to become a star. Please join me on this journey! Let’s chase our dreams together—please show lots of love. 🩵🩵🩵🩵,2000.12.18,170,https://share.mnetplus.world/boys2planet/participants/683976e2956766128aa80fb0?hl=en,images/36.jpg,Individual,"Window shopping, climbing, taking walks","Self-makeup, calligraphy, girl group dancing",Seo Won,서원,K,1,9,12,3,19,20
SUN HENG YU,SUN HENG YU,I will set my whole body on fire for debut!,2001.06.22,177,https://share.mnetplus.world/boys2planet/participants/68412c3b09da8c4d959e9632?hl=en,images/37.jpg,Individual,"Bowling, singing, playing games","Cooking, Korean language",Sun Heng yu,孙亨裕,C,3,53,4,2,25,10
SUN JIA YANG,SUN JIA YANG,Let’s all become better versions of ourselves together!,2006.01.05,172,https://share.mnetplus.world/boys2planet/participants/6841293b7b61ef5510b8eb9b?hl=en,images/38.jpg,Hangzhou Time Flowing Culture and Entertainment,"Dancing, drawing",Playing piano,Sun Jia yang,孙佳洋,C,3,5,3,1,60,12
TATSUKI,TATSUKI,I won’t disappoint—I'm your cheat key on stage! Please choose TATSUKI!,2009.01.26,170.5,https://share.mnetplus.world/boys2planet/participants/683d3fd9b07fc83ed869123d?hl=en,images/39.jpg,WAKEONE,"Practicing calligraphy, studying Korean four-character idioms, writing","Swimming, eating 5 meals a day, eating 5 bowls of rice per meal",Tatsuki,타츠키,K,2,15,23,2,33,41
XUE SU REN,XUE SU REN,I will seize this opportunity! I will do my best,2004.11.09,181,https://share.mnetplus.world/boys2planet/participants/6841219cb3c476154e980afe?hl=en,images/40.jpg,Individual,"Dancing, singing, choreographing","Choreography creation, voice impression",Xue Su ren,薛苏仁,C,3,29,32,2,30,51
YEOM YE CHAN,YEOM YE CHAN,"I’m confident I’ll stand out no matter who’s beside me. 
I’ll make you remember only me!!",2008.09.04,179.5,https://share.mnetplus.world/boys2planet/participants/683cfb1762e19e064eec8506?hl=en,images/41.jpg,ChoCo ENTERTAINMENT,"Creating original songs, listening to music, snacking on junk food, researching favorite artists, listening to music while showering","Eating sour food, holding back laughter, girl group dancing, freestyle dance, writing lyrics and rapping in 1 minute",Yeom Ye chan,염예찬,K,3,31,15,2,40,35
YI CHEN,YI CHEN,I have run this far with a stronger will than anyone. Please let me debut on BOYS II PLANET!! I will become a star that shines brighter than anyone!,1998.09.24,176,https://share.mnetplus.world/boys2planet/participants/684141bd02c5b7121f64db2b?hl=en,images/42.jpg,WAKEONE,"Biking, hiking, exercising","B-boying, back tumbling",Yi Chen,亦辰,C,2,4,7,1,80,21
YOO KANG MIN,YOO KANG MIN,I treasure each and every day. I’ll give my all on every stage.,2003.01.25,174,https://share.mnetplus.world/boys2planet/participants/683cfde8f334731f5283e9bc?hl=en,images/43.jpg,JELLYFISH ENTERTAINMENT,"Listening to songs, playing futsal, watching soccer, 
watching movies and dramas","Imitating Conan, doing double-unders with a jump rope",Yoo Kang min,유강민,K,3,2,3,3,4,7
YOON MIN,YOON MIN,"I will do my best to shine brightly every moment, without any regrets!",2000.12.22,170,https://share.mnetplus.world/boys2planet/participants/683d047baf74224bf4de7adc?hl=en,images/44.jpg,howtouse,"Composing original songs, collecting figures","Imitating Donald Duck, singing a song in freestyle, 
making scrambled eggs",Yoon Min,윤민,K,3,32,38,3,13,49
YUMEKI,YUMEKI,This is my first and final challenge—please stay by my side until the end! Let’s go!,1999.11.12,172,https://share.mnetplus.world/boys2planet/participants/683d00edaf74224bf4de7adb?hl=en,images/45.jpg,GRIGO ENTERTAINMENT,"Shopping for clothes, watching Korean dramas, mukbang","Flexibility, controlling facial expressions while dancing",Yumeki,유메키,K,1,10,11,3,1,14
ZHANG JIA HAO,ZHANG JIA HAO,Please look forward to me! I will do my very best with no regrets until the end!,2002.07.07,178,https://share.mnetplus.world/boys2planet/participants/6841456874366b31a1c003ad?hl=en,images/46.jpg,NOUER ENTERTAINMENT,"Shopping, fashion styling, basketball",Continuously spinning a basketball,Zhang Jia hao,张家豪,C,3,12,8,3,8,16
ZHAO GUANG XU,ZHAO GUANG XU,Start your journey toward your dream from zero.,2003.11.03,183,https://share.mnetplus.world/boys2planet/participants/684144a000163a1e33dac0f4?hl=en,images/47.jpg,IX ENTERTAINMENT,"Dancing, playing games",Dancing,Zhao Guang xu,赵光旭,C,1,9,18,1,64,28
ZHOU AN XIN,ZHOU AN XIN,"I will do my very best in this program, show you everything I have, and leave no regrets",2006.12.25,178,https://share.mnetplus.world/boys2planet/participants/684145ec706fa26293682519?hl=en,images/48.jpg,NOUER ENTERTAINMENT,"Basketball, watching cooking videos, shopping and fashion styling, watching animation",Rapping in three languages,Zhou An xin,周安信,C,3,1,1,3,3,2
ANDREW,ANDREW,I will do my best to create music that touches the listener’s heart.,2003.12.19,176,https://share.mnetplus.world/boys2planet/participants/6836c30108c3cc45013ac3ae?hl=en,images/49.jpg,Bill ENTERTAINMENT,"Shopping at vintage shops, finding and visiting taco shops or famous restaurants, playing basketball, meditating, reading books","Topline songwriting, writing lyrics",Andrew,앤드류,K,2,40,40,2,27,55
AOSHI,AOSHI,I will capture the hearts of the Star Creators with my unique style and make it to the end!,2006.10.09,171.5,https://share.mnetplus.world/boys2planet/participants/6836ceea408f877d1bddd4d6?hl=en,images/50.jpg,BIG PLANET MADE ENTERTAINMENT,"Exercising, imagining pleasant moments, enjoying tea ceremonies, watching horror movies, finding delicious bakeries","Playing handball, using a whistle, doing leg splits, smiling often, taking selfies, eating well",Aoshi,아오시,K,1,35,44,2,42,60
BANG JUN HYUK,BANG JUN HYUK,I’m ready to make a lasting impression—straight to your heart!,2004.12.19,175,https://share.mnetplus.world/boys2planet/participants/683972acb6da843399c19e22?hl=en,images/51.jpg,TOP MEDIA,"Playing Tekken, composing music",Music production,Bang Jun hyuk,방준혁,K,1,21,27,1,79,44
BIAN SHI YU,BIAN SHI YU,"If you get up one more time than you fall, that’s what success is!",2006. 06. 21,172.5,https://share.mnetplus.world/boys2planet/participants/68411bd95a617c7dfa2bb1c1?hl=en,images/52.jpg,TOPCLASS ENTERTAINMENT,"Badminton, role-playing mystery game, mystery game (Pelican soup riddle)","Moving eyebrows like waves, lifting tongue",Bian Shi yu,卞士宇,C,2,41,38,2,38,62
CHRISEN YANG,CHRISEN YANG,"With my unique charisma, I will make sure you remember the name ‘CHRISEN YANG'.",2004.12.29,180,https://share.mnetplus.world/boys2planet/participants/6841484419ba4629c4a692ab?hl=en,images/53.jpg,RYCE Entertainment,"Singing, dancing, skiing",Choreographing,Chrisen Yang,克里森 杨,C,1,49,51,1,74,68
DONG JING KUN,DONG JING KUN,"Without rushing, I’ve calmly prepared everything, so now all that’s left is to reach the top",2005.09.29,175,https://share.mnetplus.world/boys2planet/participants/6840ff13746e21370e0a9686?hl=en,images/54.jpg,Dragon Team Film and Television Culture,Dancing,Taekwondo,Dong Jing kun,董靖坤,C,3,56,33,1,76,63
GUO ZHEN,GUO ZHEN,Overcome hardships and become the best version of yourself!,2002.08.11,183,https://share.mnetplus.world/boys2planet/participants/6840f6a757c45f3f52065f98?hl=en,images/55.jpg,Giant Entertainment Music,"Cooking, billiards",Solo dance,Guo Zhen,郭震,C,2,24,28,1,56,52
HAM HYUN SEO,HAM HYUN SEO,I’ll give my all in every moment and live each day without regret,2007.01.14,185.5,https://share.mnetplus.world/boys2planet/participants/683d40a18938582ad19843a9?hl=en,images/56.jpg,nCH ENTERTAINMENT,"Drawing, swimming, exercising",Venom voice,Ham Hyun seo,함현서,K,1,68,67,1,51,80
HONG ZHI HAN,HONG ZHI HAN,I will show you HONG ZHI HAN shining on stage!,2004.06.17,173,https://share.mnetplus.world/boys2planet/participants/684149d1fedad651c74a99aa?hl=en,images/57.jpg,Individual,"Composing, traveling, cooking, swimming","Infinite hiccuping, bending fingers",Hong Zhi han,洪智函,C,2,61,66,3,21,74
HONG ZIH HAO,HONG ZIH HAO,"As long as you have faith, there’s nothing to worry about!",2005.04.11,178,https://share.mnetplus.world/boys2planet/participants/684149b2f6324a677827b144?hl=en,images/58.jpg,TEN ENTERTAINMENT,"Drawing, playing games, learning languages, watching horror movies","Drawing illustrations, acting, mimicking, laughter",Hong Zih hao,洪子皓,C,1,18,23,1,71,43
JANG TAE YOON,JANG TAE YOON,I’ll train hard to never lose in dance to anyone!,2006.07.29,175,https://share.mnetplus.world/boys2planet/participants/683d2c8fcea3fa27508ca264?hl=en,images/59.jpg,iNKODE ENTERTAINMENT,Rewatching movies previously enjoyed,Freestyle dance,Jang Tae yoon,장태윤,K,2,67,62,2,32,72
JIANG FAN,JIANG FAN,"To become a better version of myself, hard work will always be rewarded, Passion!!!",2005. 05. 19,174,https://share.mnetplus.world/boys2planet/participants/68414692d44b3c677aa45cdf?hl=en,images/60.jpg,TOPCLASS ENTERTAINMENT,"Cooking, cycling, camping, board games","Freestyle dance, choreographing",Jiang Fan,姜帆,C,1,38,37,2,36,56
KIM DANIEL,KIM DANIEL,I’ll do my best—as far as destiny allows.,2009.03.05,188,https://share.mnetplus.world/boys2planet/participants/6837e1270eb5b81bbc4b4cb4?hl=en,images/61.jpg,JELLYFISH ENTERTAINMENT,"Walking while listening to music, doing light exercise","Eating three bowls of double portions of Jajangmyeon, 
falling asleep within three minutes",Kim Daniel,김다니엘,K,1,23,32,1,67,53
KIM DONG HYUN A,KIM DONG HYUN A,"All-rounder? I’ll prove it on stage, not with words.",2003.10.23,174,https://share.mnetplus.world/boys2planet/participants/6837b73db12f8f5047c2d8fc?hl=en,images/62.jpg,Individual,"Walking, reading, swimming, going on impromptu solo trips",Modern dance,Kim Dong hyun A,김동현A,K,2,61,64,1,65,75
KIM DONG HYUN B,KIM DONG HYUN B,I’m here to become number one.,2008.12.14,178,https://share.mnetplus.world/boys2planet/participants/6837b8e9cbda8e7e840d2707?hl=en,images/63.jpg,P NATION,"Playing basketball, walking, composing music, watching variety shows","Exercising, ventriloquism rapping, songwriting, hip-hop",Kim Dong hyun B,김동현B,K,3,62,60,1,54,71
KIM HYEON SEO,KIM HYEON SEO,I’ll give everything I have at every moment.,2007.07.31,175,https://share.mnetplus.world/boys2planet/participants/6837c802fc84b02b6541e05c?hl=en,images/64.jpg,JELLYFISH ENTERTAINMENT,"Using imagination, reading, drawing, playing the piano","Speaking foreign languages, swimming",Kim Hyeon seo,김현서,K,1,63,66,1,73,78
KIM YOUNG JUN,KIM YOUNG JUN,Dazzling KIM YOUNG JUN! I’ll never back down and always smile!!!!!!!!!!!!!!!!!,2010.01.29,181,https://share.mnetplus.world/boys2planet/participants/6837bab1d18a13793c4ad046?hl=en,images/65.jpg,JELLYFISH ENTERTAINMENT,"Collecting seals included in character bread packaging, 
eating jellies and evaluating their taste ☆☆☆☆☆",Laughter autoplay human (Too much laughter! Be careful of the noise!),Kim Young jun,김영준,K,1,58,59,1,52,79
KO MING CHIEH,KO MING CHIEH,I am not afraid of hardship and am someone who can endure and persevere I will definitely debut on BOYS II PLANET and become the brightest star,2007.09.11,170,https://share.mnetplus.world/boys2planet/participants/68414822c2152d4c695a8006?hl=en,images/66.jpg,WAKEONE,"Drawing, playing guitar, singing, sports","Dancing, piano, drawing",Ko Ming chieh,柯茗傑,C,2,58,59,1,57,77
LEE DONG HEON,LEE DONG HEON,I’ll show you what it means to truly do your best!,1995.08.04,179,https://share.mnetplus.world/boys2planet/participants/683d0647cea3fa27508ca263?hl=en,images/67.jpg,JELLYFISH ENTERTAINMENT,Watching dramas,"Composing music, playing piano",Lee Dong heon,이동헌,K,3,29,28,2,37,45
LEE SEUNG BAEK,LEE SEUNG BAEK,Victory! 100%! I will work hard to come out on top!,2010.09.29,176.7,https://share.mnetplus.world/boys2planet/participants/683d0c058938582ad19843a7?hl=en,images/68.jpg,Woollim ENTERTAINMENT,"Opening the refrigerator, exercising, imagining, drawing","Dancing, playing the hand recorder",Lee Seung baek,이승백,K,1,49,54,1,69,73
MUHN WON JUN,MUHN WON JUN,I will enjoy this journey.,2005.10.26,180,https://share.mnetplus.world/boys2planet/participants/6837e728c097b8004d469130?hl=en,images/69.jpg,CJes Studios,"Playing basketball, skateboarding, bowling, browsing clothes","Performing in the circus, playing violin, running marathons",Muhn Won jun,문원준,K,2,43,51,2,29,69
NOH HUI JUN,NOH HUI JUN,"You’ll be captivated by me. I will deliver perfection in every aspect, from singing to dancing!!",2003.10.07,178,https://share.mnetplus.world/boys2planet/participants/683d4c3daba63741258d47f0?hl=en,images/70.jpg,TOP MEDIA,"Listening to songs, collecting vinyl records, singing,watching dramas and movies, playing games","Singing, dancing",Noh Hui jun,노휘준,K,2,46,46,3,24,67
OH JUN HO,OH JUN HO,Watch out—you’ll be falling for me before you know it.,2004.10.19,178,https://share.mnetplus.world/boys2planet/participants/683cfc586407a7122301f975?hl=en,images/71.jpg,WITHUS ENTERTAINMENT,"Touring bakeries, drawing, watching movies","Math, electric guitar, rugby",Oh Jun ho,오준호,K,1,65,65,2,48,70
REEONN,REEONN,I will shine brighter than anyone else on stage and work hard!,2007.01.22,175,https://share.mnetplus.world/boys2planet/participants/683d4d0faba63741258d47f1?hl=en,images/72.jpg,WAKEONE,"Playing soccer and tennis, watching movies","Playing LumiCube, playing the ukulele",Reeonn,리온,K,1,50,45,2,35,64
RENSHO,RENSHO,"Hi, it’s RENSHO! Have you picked your favorite yet? If you already have, please change it to me~!",2007.12.19,176,https://share.mnetplus.world/boys2planet/participants/6837e387b21a33083c9b6186?hl=en,images/73.jpg,IST ENTERTAINMENT,"Sleeping, traveling, eating, watching videos, playing games","Making shoulder blade sounds, cleaning fish, practicing judo",Rensho,렌쇼,K,3,44,36,1,75,57
SHO,SHO,I’ll make your summer cooler with my refreshing energy!!,2005.12.20,167,https://share.mnetplus.world/boys2planet/participants/68397b2862e19e064eec8505?hl=en,images/74.jpg,nCH ENTERTAINMENT,"Playing the piano, guitar, and ukulele,baking, cycling","Speaking Korean, playing musical instruments (kendama, piano, guitar, ukulele)",Sho,쇼우,K,1,37,49,1,77,66
SONG MIN JAE,SONG MIN JAE,"Let yourself be completely immersed in my endless charm—open your eyes and ears, and enjoy the show!",2003.08.23,180,https://share.mnetplus.world/boys2planet/participants/6839780e2df59069b98136f1?hl=en,images/75.jpg,TOP MEDIA,"Watching animations, painting, cooking, baking",Being versatile,Song Min jae,송민재,K,2,30,37,1,78,58
TAIGA,TAIGA,"With maximum confidence, I will seize my debut!",2005.05.17,180.2,https://share.mnetplus.world/boys2planet/participants/68414891b3c476154e980aff?hl=en,images/76.jpg,IX ENTERTAINMENT,"Watching animation, eating delicious food, rapping, dancing","Lyric writing, choreographing",Taiga,타이가,C,1,42,36,2,46,59
YANG DA WIT,YANG DA WIT,I’ll do my best so I have no regrets,2008.03.10,175,https://share.mnetplus.world/boys2planet/participants/683980cce0def45b55c41589?hl=en,images/77.jpg,RBW,"Taking walks, drawing, binge-watching dramas","Dancing, drawing",Yang Da wit,양다윗,K,2,55,63,1,72,76
