Name,Subheading,Birthday,Height,ProfileURL,ImageFile,Agency,Hobby,Specialty,kc_name,Group,star_rank1,ep1,ep2,star_rank2,ep3_master,ep3,ep5,star_rank5,ep7,star_rank7,ep8,ep9,ep11,ep12,eliminated_ep
CHEN BO WEN,"If it’s something I want, I will do my best to get it",2008.02.01,170,https://share.mnetplus.world/boys2planet/participants/684147451231526cb88a3ef9?hl=en,2.jpg,Individual,"Singing, dancing, skiing","Body wave, acting cute",陈博文,C,3,36,16,3,18,27,32,2,47,2,,,,,
KIM JAE HYUN,"Hello, I’m “JAE HYUN,” and I’ll ""reproduce (jae-hyun in Korean)"" the best stage right here!",2010.01.03,173,https://share.mnetplus.world/boys2planet/participants/6837bf765c79d84f56b22c30?hl=en,1.jpg,CUBE ENTERTAINMENT,"Shopping, listening to songs, watching romance dramas","Playing soccer, songwriting, composing music, speaking calmly",김재현,K,2,54,18,1,50,31,33,2,3,3,,,,,
ZHAO GUANG XU,Start your journey toward your dream from zero.,2003.11.03,183,https://share.mnetplus.world/boys2planet/participants/684144a000163a1e33dac0f4?hl=en,7.jpg,IX ENTERTAINMENT,"Dancing, playing games",Dancing,赵光旭,C,1,9,18,1,64,28,34,2,41,2,,,,,
PARK JUN IL,I’ll do my best to show you everything I’ve got!,2004.04.05,171,https://share.mnetplus.world/boys2planet/participants/6837ed25631cff460ffce514?hl=en,3.jpg,iNKODE ENTERTAINMENT,"Taking walks, window shopping, exploring dessert restaurants","Practicing Taekwondo, performing acrobatics",박준일,K,2,13,16,2,44,33,35,2,7,3,,,,,
HE ZHONG XING,The stars of a midsummer night will surely shine brightly!,2003.08.08,185,https://share.mnetplus.world/boys2planet/participants/68414990d3b30c641daf8d53?hl=en,0.jpg,Individual,Studying stage performances,Striking poses,贺仲星,C,2,17,19,1,70,32,36,2,24,3,,,,,
KIM DONG YUN,There’s more to my charm than you’ve seen—I’ll show you it all~!!!,2002.02.18,177,https://share.mnetplus.world/boys2planet/participants/6837b3921ce69a5b2c4d53ab?hl=en,8.jpg,Woollim ENTERTAINMENT,"Playing soccer, taking walks,massaging with a massage ball, drinking Americano with an added shot","Playing soccer, shooting, identifying the song title after hearing just the first 0.1 second",김동윤,K,1,14,22,2,39,38,37,2,12,2,,,,,
TATSUKI,I won’t disappoint—I'm your cheat key on stage! Please choose TATSUKI!,2009.01.26,170.5,https://share.mnetplus.world/boys2planet/participants/683d3fd9b07fc83ed869123d?hl=en,9.jpg,WAKEONE,"Practicing calligraphy, studying Korean four-character idioms, writing","Swimming, eating 5 meals a day, eating 5 bowls of rice per meal",타츠키,K,2,15,23,2,33,41,38,2,30,2,,,,,
YEOM YE CHAN,"I’m confident I’ll stand out no matter who’s beside me. 
I’ll make you remember only me!!",2008.09.04,179.5,https://share.mnetplus.world/boys2planet/participants/683cfb1762e19e064eec8506?hl=en,1.jpg,ChoCo ENTERTAINMENT,"Creating original songs, listening to music, snacking on junk food, researching favorite artists, listening to music while showering","Eating sour food, holding back laughter, girl group dancing, freestyle dance, writing lyrics and rapping in 1 minute",염예찬,K,3,31,15,2,40,35,39,2,2,3,,,,,
JO GYE HYEON,I aim to shine brighter than anyone else on stage!,1999.05.14,177,https://share.mnetplus.world/boys2planet/participants/683d3c2882e7fe5cb16ec55d?hl=en,4.jpg,JELLYFISH ENTERTAINMENT,"Lying down, watching animations and variety shows,singing songs","Singing, dancing",조계현,K,3,19,20,3,14,40,40,2,10,3,,,,,
JUNG HYUN JUN,"With unwavering passion, I’ll grow step by step. Let’s create our brightest planet together—go for it!",2009.03.13,178,https://share.mnetplus.world/boys2planet/participants/683d3b4b2df59069b98136f3?hl=en,6.jpg,NOUER ENTERTAINMENT,Playing Animal Crossing,"Equipped with bright energy! (When you see my passion on stage, you will automatically smile! 😊)",정현준,K,3,41,47,3,7,42,41,2,23,3,,,,,
KIM TAE JO,"My path is clear. I’ll move forward, undeterred by any challenge. If you like me, please support KIM TAE JO!",2010.07.01,181,https://share.mnetplus.world/boys2planet/participants/6837c44e179257342956ed48?hl=en,5.jpg,ChoCo ENTERTAINMENT,"Playing soccer and PlayStation games, making beats,
digging for trendy music, broadcasting while eating trendy food","DJing, playing electric guitar, making beats in 1 minute, locking dance",김태조,K,3,53,25,3,22,39,42,2,29,2,,,,,
KIM SI HWAN,Star Creators—are you ready to fall for me?,2005.11.28,179,https://share.mnetplus.world/boys2planet/participants/6837b5805c79d84f56b22c2f?hl=en,4.jpg,IST ENTERTAINMENT,"Playing games, exploring unfamiliar places, ocean swimming, singing, listening to music, gaming, and working out","Art (immitating drawings), long-distance running, doing nothing",김시환,K,3,27,29,3,20,46,43,2,42,2,,,,,
KIM IN HU,"Believing this is my first and last chance, I’ll give it everything I’ve got!",2005.01.22,176.3,https://share.mnetplus.world/boys2planet/participants/6837bd148af5b9434f96054c?hl=en,0.jpg,BIG PLANET MADE ENTERTAINMENT,"Going on gourmet tours, taking walks, playing games, watching movies, shopping","Spongebob voice impression, working hard at anything, 
self-questioning, providing irrelevant answers to questions",김인후,K,2,34,39,3,23,54,44,2,46,2,,,,,
ARCTIC,I will bring happiness with my bright energy!,2008.10.09,173,https://share.mnetplus.world/boys2planet/participants/6836cfeef7d8031d1b9fcea0?hl=en,1.jpg,IST ENTERTAINMENT,"Listening to songs, taking walks, meditating","Finger tricks, flexibility",아틱,K,3,36,31,1,66,50,45,2,19,3,,,,,
XUE SU REN,I will seize this opportunity! I will do my best,2004.11.09,181,https://share.mnetplus.world/boys2planet/participants/6841219cb3c476154e980afe?hl=en,0.jpg,Individual,"Dancing, singing, choreographing","Choreography creation, voice impression",薛苏仁,C,3,29,32,2,30,51,46,2,36,2,,,,,
HAN HARRY JUNE,I’m aiming for first place,2004.01.01,178,https://share.mnetplus.world/boys2planet/participants/683d406632363472da8ee11d?hl=en,8.jpg,BRAVE ENTERTAINMENT,"Taking dance classes, creating choreography,playing basketball, riding a bike while listening to music","Creating choreography, playing basketball, falling asleep within 3 seconds of lying down",한해리준,K,3,33,34,2,26,47,47,2,22,2,,,,,
YOON MIN,"I will do my best to shine brightly every moment, without any regrets!",2000.12.22,170,https://share.mnetplus.world/boys2planet/participants/683d047baf74224bf4de7adc?hl=en,4.jpg,howtouse,"Composing original songs, collecting figures","Imitating Donald Duck, singing a song in freestyle, 
making scrambled eggs",윤민,K,3,32,38,3,13,49,48,2,8,3,,,,,
LEE DONG HEON,I’ll show you what it means to truly do your best!,1995.08.04,179,https://share.mnetplus.world/boys2planet/participants/683d0647cea3fa27508ca263?hl=en,7.jpg,JELLYFISH ENTERTAINMENT,Watching dramas,"Composing music, playing piano",이동헌,K,3,29,28,2,37,45,49,1,,,,,,,5
BANG JUN HYUK,I’m ready to make a lasting impression—straight to your heart!,2004.12.19,175,https://share.mnetplus.world/boys2planet/participants/683972acb6da843399c19e22?hl=en,1.jpg,TOP MEDIA,"Playing Tekken, composing music",Music production,방준혁,K,1,21,27,1,79,44,50,1,,,,,,,5
ZHANG SHUN YU,"With endless passion, let’s head toward the mountains and the sea together!",2010.03.25,173,https://share.mnetplus.world/boys2planet/participants/684144cac2152d4c695a8005?hl=en,0.jpg,Dragon Team Film and Television Culture,"Dancing, basketball","Taekwondo, dancing",张舜禹,C,2,33,27,2,31,48,51,1,,,,,,,5
GUO ZHEN,Overcome hardships and become the best version of yourself!,2002.08.11,183,https://share.mnetplus.world/boys2planet/participants/6840f6a757c45f3f52065f98?hl=en,5.jpg,Giant Entertainment Music,"Cooking, billiards",Solo dance,郭震,C,2,24,28,1,56,52,52,1,,,,,,,5
KIM DONG HYUN B,I’m here to become number one.,2008.12.14,178,https://share.mnetplus.world/boys2planet/participants/6837b8e9cbda8e7e840d2707?hl=en,3.jpg,P NATION,"Playing basketball, walking, composing music, watching variety shows","Exercising, ventriloquism rapping, songwriting, hip-hop",김동현B,K,3,62,60,1,54,71,53,1,,,,,,,5
ANDREW,I will do my best to create music that touches the listener’s heart.,2003.12.19,176,https://share.mnetplus.world/boys2planet/participants/6836c30108c3cc45013ac3ae?hl=en,9.jpg,Bill ENTERTAINMENT,"Shopping at vintage shops, finding and visiting taco shops or famous restaurants, playing basketball, meditating, reading books","Topline songwriting, writing lyrics",앤드류,K,2,40,40,2,27,55,54,1,,,,,,,5
SONG MIN JAE,"Let yourself be completely immersed in my endless charm—open your eyes and ears, and enjoy the show!",2003.08.23,180,https://share.mnetplus.world/boys2planet/participants/6839780e2df59069b98136f1?hl=en,5.jpg,TOP MEDIA,"Watching animations, painting, cooking, baking",Being versatile,송민재,K,2,30,37,1,78,58,55,1,,,,,,,5
HONG ZIH HAO,"As long as you have faith, there’s nothing to worry about!",2005.04.11,178,https://share.mnetplus.world/boys2planet/participants/684149b2f6324a677827b144?hl=en,8.jpg,TEN ENTERTAINMENT,"Drawing, playing games, learning languages, watching horror movies","Drawing illustrations, acting, mimicking, laughter",洪子皓,C,1,18,23,1,71,43,56,1,,,,,,,5
YANG HEUI CHAN,Believe in me and follow my lead—I’ll make you smile.,1999.07.31,175,https://share.mnetplus.world/boys2planet/participants/683cf8f7b6da843399c19e23?hl=en,8.jpg,BRAVE ENTERTAINMENT,"Dancing, exercising (workout and soccer),finding dance videos, doing threadwork, reading books while doing the splits","Creating choreography, deboning chicken, responding with positive words, imitating animals, doing 70 push-ups in 1 minute, making people happy",양희찬,K,3,52,50,2,41,61,57,1,,,,,,,5
REEONN,I will shine brighter than anyone else on stage and work hard!,2007.01.22,175,https://share.mnetplus.world/boys2planet/participants/683d4d0faba63741258d47f1?hl=en,2.jpg,WAKEONE,"Playing soccer and tennis, watching movies","Playing LumiCube, playing the ukulele",리온,K,1,50,45,2,35,64,58,1,,,,,,,5
KIM DANIEL,I’ll do my best—as far as destiny allows.,2009.03.05,188,https://share.mnetplus.world/boys2planet/participants/6837e1270eb5b81bbc4b4cb4?hl=en,1.jpg,JELLYFISH ENTERTAINMENT,"Walking while listening to music, doing light exercise","Eating three bowls of double portions of Jajangmyeon, 
falling asleep within three minutes",김다니엘,K,1,23,32,1,67,53,59,1,,,,,,,5
HAM HYUN SEO,I’ll give my all in every moment and live each day without regret,2007.01.14,185.5,https://share.mnetplus.world/boys2planet/participants/683d40a18938582ad19843a9?hl=en,6.jpg,nCH ENTERTAINMENT,"Drawing, swimming, exercising",Venom voice,함현서,K,1,68,67,1,51,80,60,1,,,,,,,5
OH JUN HO,Watch out—you’ll be falling for me before you know it.,2004.10.19,178,https://share.mnetplus.world/boys2planet/participants/683cfc586407a7122301f975?hl=en,1.jpg,WITHUS ENTERTAINMENT,"Touring bakeries, drawing, watching movies","Math, electric guitar, rugby",오준호,K,1,65,65,2,48,70,61,1,,,,,,,5
MUHN WON JUN,I will enjoy this journey.,2005.10.26,180,https://share.mnetplus.world/boys2planet/participants/6837e728c097b8004d469130?hl=en,9.jpg,CJes Studios,"Playing basketball, skateboarding, bowling, browsing clothes","Performing in the circus, playing violin, running marathons",문원준,K,2,43,51,2,29,69,62,1,,,,,,,5
JIANG FAN,"To become a better version of myself, hard work will always be rewarded, Passion!!!",2005. 05. 19,174,https://share.mnetplus.world/boys2planet/participants/68414692d44b3c677aa45cdf?hl=en,0.jpg,TOPCLASS ENTERTAINMENT,"Cooking, cycling, camping, board games","Freestyle dance, choreographing",姜帆,C,1,38,37,2,36,56,63,1,,,,,,,5
TAIGA,"With maximum confidence, I will seize my debut!",2005.05.17,180.2,https://share.mnetplus.world/boys2planet/participants/68414891b3c476154e980aff?hl=en,6.jpg,IX ENTERTAINMENT,"Watching animation, eating delicious food, rapping, dancing","Lyric writing, choreographing",타이가,C,1,42,36,2,46,59,65,1,,,,,,,5
KIM DONG HYUN A,"All-rounder? I’ll prove it on stage, not with words.",2003.10.23,174,https://share.mnetplus.world/boys2planet/participants/6837b73db12f8f5047c2d8fc?hl=en,2.jpg,Individual,"Walking, reading, swimming, going on impromptu solo trips",Modern dance,김동현A,K,2,61,64,1,65,75,66,1,,,,,,,5
AOSHI,I will capture the hearts of the Star Creators with my unique style and make it to the end!,2006.10.09,171.5,https://share.mnetplus.world/boys2planet/participants/6836ceea408f877d1bddd4d6?hl=en,0.jpg,BIG PLANET MADE ENTERTAINMENT,"Exercising, imagining pleasant moments, enjoying tea ceremonies, watching horror movies, finding delicious bakeries","Playing handball, using a whistle, doing leg splits, smiling often, taking selfies, eating well",아오시,K,1,35,44,2,42,60,67,1,,,,,,,5
RENSHO,"Hi, it’s RENSHO! Have you picked your favorite yet? If you already have, please change it to me~!",2007.12.19,176,https://share.mnetplus.world/boys2planet/participants/6837e387b21a33083c9b6186?hl=en,3.jpg,IST ENTERTAINMENT,"Sleeping, traveling, eating, watching videos, playing games","Making shoulder blade sounds, cleaning fish, practicing judo",렌쇼,K,3,44,36,1,75,57,68,1,,,,,,,5
YUSEN,I pour my heart and soul into this opportunity.,2008.05.05,176,https://share.mnetplus.world/boys2planet/participants/683d020c8938582ad19843a6?hl=en,9.jpg,P NATION,"Cooking, playing volleyball, shopping, playing games","Doing leg splits, performing freestyle dance",유센,K,2,48,52,2,43,65,69,1,,,,,,,5
HONG ZHI HAN,I will show you HONG ZHI HAN shining on stage!,2004.06.17,173,https://share.mnetplus.world/boys2planet/participants/684149d1fedad651c74a99aa?hl=en,7.jpg,Individual,"Composing, traveling, cooking, swimming","Infinite hiccuping, bending fingers",洪智函,C,2,61,66,3,21,74,70,1,,,,,,,5
YANG DA WIT,I’ll do my best so I have no regrets,2008.03.10,175,https://share.mnetplus.world/boys2planet/participants/683980cce0def45b55c41589?hl=en,7.jpg,RBW,"Taking walks, drawing, binge-watching dramas","Dancing, drawing",양다윗,K,2,55,63,1,72,76,71,1,,,,,,,5
DONG JING KUN,"Without rushing, I’ve calmly prepared everything, so now all that’s left is to reach the top",2005.09.29,175,https://share.mnetplus.world/boys2planet/participants/6840ff13746e21370e0a9686?hl=en,4.jpg,Dragon Team Film and Television Culture,Dancing,Taekwondo,董靖坤,C,3,56,33,1,76,63,72,1,,,,,,,5
KIM YOUNG JUN,Dazzling KIM YOUNG JUN! I’ll never back down and always smile!!!!!!!!!!!!!!!!!,2010.01.29,181,https://share.mnetplus.world/boys2planet/participants/6837bab1d18a13793c4ad046?hl=en,5.jpg,JELLYFISH ENTERTAINMENT,"Collecting seals included in character bread packaging, 
eating jellies and evaluating their taste ☆☆☆☆☆",Laughter autoplay human (Too much laughter! Be careful of the noise!),김영준,K,1,58,59,1,52,79,73,1,,,,,,,5
SHO,I’ll make your summer cooler with my refreshing energy!!,2005.12.20,167,https://share.mnetplus.world/boys2planet/participants/68397b2862e19e064eec8505?hl=en,4.jpg,nCH ENTERTAINMENT,"Playing the piano, guitar, and ukulele,baking, cycling","Speaking Korean, playing musical instruments (kendama, piano, guitar, ukulele)",쇼우,K,1,37,49,1,77,66,74,1,,,,,,,5
KIM HYEON SEO,I’ll give everything I have at every moment.,2007.07.31,175,https://share.mnetplus.world/boys2planet/participants/6837c802fc84b02b6541e05c?hl=en,4.jpg,JELLYFISH ENTERTAINMENT,"Using imagination, reading, drawing, playing the piano","Speaking foreign languages, swimming",김현서,K,1,63,66,1,73,78,75,1,,,,,,,5
KO MING CHIEH,I am not afraid of hardship and am someone who can endure and persevere I will definitely debut on BOYS II PLANET and become the brightest star,2007.09.11,170,https://share.mnetplus.world/boys2planet/participants/68414822c2152d4c695a8006?hl=en,6.jpg,WAKEONE,"Drawing, playing guitar, singing, sports","Dancing, piano, drawing",柯茗傑,C,2,58,59,1,57,77,76,1,,,,,,,5
NOH HUI JUN,"You’ll be captivated by me. I will deliver perfection in every aspect, from singing to dancing!!",2003.10.07,178,https://share.mnetplus.world/boys2planet/participants/683d4c3daba63741258d47f0?hl=en,0.jpg,TOP MEDIA,"Listening to songs, collecting vinyl records, singing,watching dramas and movies, playing games","Singing, dancing",노휘준,K,2,46,46,3,24,67,77,1,,,,,,,5
CHRISEN YANG,"With my unique charisma, I will make sure you remember the name ‘CHRISEN YANG'.",2004.12.29,180,https://share.mnetplus.world/boys2planet/participants/6841484419ba4629c4a692ab?hl=en,3.jpg,RYCE Entertainment,"Singing, dancing, skiing",Choreographing,克里森 杨,C,1,49,51,1,74,68,78,1,,,,,,,5
LEE SEUNG BAEK,Victory! 100%! I will work hard to come out on top!,2010.09.29,176.7,https://share.mnetplus.world/boys2planet/participants/683d0c058938582ad19843a7?hl=en,8.jpg,Woollim ENTERTAINMENT,"Opening the refrigerator, exercising, imagining, drawing","Dancing, playing the hand recorder",이승백,K,1,49,54,1,69,73,79,1,,,,,,,5
JANG TAE YOON,I’ll train hard to never lose in dance to anyone!,2006.07.29,175,https://share.mnetplus.world/boys2planet/participants/683d2c8fcea3fa27508ca264?hl=en,9.jpg,iNKODE ENTERTAINMENT,Rewatching movies previously enjoyed,Freestyle dance,장태윤,K,2,67,62,2,32,72,80,1,,,,,,,5
